,Opponent,WinningProbability,hand,hand1,hand2,tie,type
0,0.14511020408163267,0.849334693877551,AAo,A,A,0.005555102040816326,"o
"
1,0.33684489795918365,0.6465795918367347,AKo,A,K,0.01657551020408163,"o
"
2,0.3472448979591837,0.6344204081632653,AQo,A,Q,0.01833469387755102,"o
"
3,0.35065714285714283,0.6283142857142857,AJo,A,J,0.021028571428571428,"o
"
4,0.3605469387755102,0.6162979591836735,ATo,A,T,0.023155102040816326,"o
"
5,0.3813877551020408,0.5921102040816326,A9o,A,9,0.02650204081632653,"o
"
6,0.3891061224489796,0.581,A8o,A,8,0.02989387755102041,"o
"
7,0.39723673469387755,0.5701877551020408,A7o,A,7,0.032575510204081636,"o
"
8,0.4025020408163265,0.5614,A6o,A,6,0.03609795918367347,"o
"
9,0.4021183673469388,0.5591102040816327,A5o,A,5,0.038771428571428575,"o
"
10,0.4128122448979592,0.5477020408163266,A4o,A,4,0.039485714285714284,"o
"
11,0.42266122448979593,0.5381795918367347,A3o,A,3,0.039159183673469385,"o
"
12,0.4301591836734694,0.5297918367346939,A2o,A,2,0.04004897959183674,"o
"
13,0.17293469387755103,0.8214857142857143,KKo,K,K,0.005579591836734694,"o
"
14,0.37617142857142855,0.603334693877551,KQo,K,Q,0.020493877551020407,"o
"
15,0.3832938775510204,0.5946979591836735,KJo,K,J,0.02200816326530612,"o
"
16,0.3934326530612245,0.5822897959183674,KTo,K,T,0.024277551020408163,"o
"
17,0.4075918367346939,0.5642897959183674,K9o,K,9,0.028118367346938775,"o
"
18,0.422734693877551,0.5457265306122449,K8o,K,8,0.03153877551020408,"o
"
19,0.4324571428571429,0.5322530612244898,K7o,K,7,0.035289795918367346,"o
"
20,0.4401673469387755,0.5217755102040816,K6o,K,6,0.03805714285714286,"o
"
21,0.448734693877551,0.5111755102040816,K5o,K,5,0.040089795918367345,"o
"
22,0.45450204081632656,0.5044734693877551,K4o,K,4,0.04102448979591837,"o
"
23,0.4654285714285714,0.49360408163265307,K3o,K,3,0.04096734693877551,"o
"
24,0.4714,0.4866,K2o,K,2,0.042,"o
"
25,0.1984857142857143,0.7953836734693878,QQo,Q,Q,0.006130612244897959,"o
"
26,0.41006938775510204,0.5655469387755102,QJo,Q,J,0.024383673469387756,"o
"
27,0.41652653061224487,0.5566938775510204,QTo,Q,T,0.026779591836734694,"o
"
28,0.43219183673469386,0.5372489795918367,Q9o,Q,9,0.030559183673469388,"o
"
29,0.44663673469387755,0.5202897959183673,Q8o,Q,8,0.0330734693877551,"o
"
30,0.4624,0.5005673469387755,Q7o,Q,7,0.03703265306122449,"o
"
31,0.4675265306122449,0.4920081632653061,Q6o,Q,6,0.04046530612244898,"o
"
32,0.477330612244898,0.48020816326530613,Q5o,Q,5,0.04246122448979592,"o
"
33,0.48822448979591837,0.46786122448979595,Q4o,Q,4,0.04391428571428571,"o
"
34,0.49601632653061223,0.46064897959183676,Q3o,Q,3,0.04333469387755102,"o
"
35,0.5042612244897959,0.45277142857142855,Q2o,Q,2,0.04296734693877551,"o
"
36,0.22236326530612244,0.7712530612244898,JJo,J,J,0.0063836734693877555,"o
"
37,0.4318489795918367,0.5396734693877551,JTo,J,T,0.028477551020408165,"o
"
38,0.45293877551020406,0.5155551020408163,J9o,J,9,0.031506122448979594,"o
"
39,0.46905714285714284,0.4963183673469388,J8o,J,8,0.03462448979591837,"o
"
40,0.4837020408163265,0.4783142857142857,J7o,J,7,0.03798367346938775,"o
"
41,0.5000204081632653,0.4580489795918367,J6o,J,6,0.04193061224489796,"o
"
42,0.5073183673469388,0.4474612244897959,J5o,J,5,0.04522040816326531,"o
"
43,0.5139387755102041,0.43966122448979594,J4o,J,4,0.0464,"o
"
44,0.5242489795918367,0.43044897959183676,J3o,J,3,0.04530204081632653,"o
"
45,0.5358244897959183,0.4187469387755102,J2o,J,2,0.04542857142857143,"o
"
46,0.24794693877551022,0.7446448979591836,TTo,T,T,0.007408163265306122,"o
"
47,0.47061632653061225,0.4957755102040816,T9o,T,9,0.03360816326530612,"o
"
48,0.48400408163265307,0.478334693877551,T8o,T,8,0.03766122448979592,"o
"
49,0.5013183673469388,0.4572326530612245,T7o,T,7,0.041448979591836736,"o
"
50,0.5173673469387755,0.4382938775510204,T6o,T,6,0.044338775510204084,"o
"
51,0.5334897959183673,0.4188816326530612,T5o,T,5,0.04762857142857143,"o
"
52,0.542865306122449,0.4086204081632653,T4o,T,4,0.04851428571428571,"o
"
53,0.5491142857142857,0.4027061224489796,T3o,T,3,0.048179591836734696,"o
"
54,0.5577510204081633,0.3936857142857143,T2o,T,2,0.04856326530612245,"o
"
55,0.27576326530612244,0.7162081632653061,99o,9,9,0.008028571428571428,"o
"
56,0.5015510204081632,0.45853061224489794,98o,9,8,0.03991836734693877,"o
"
57,0.5160979591836735,0.4400081632653061,97o,9,7,0.04389387755102041,"o
"
58,0.5319836734693878,0.4214040816326531,96o,9,6,0.04661224489795918,"o
"
59,0.5479591836734694,0.4013795918367347,95o,9,5,0.05066122448979592,"o
"
60,0.5663102040816327,0.3824530612244898,94o,9,4,0.05123673469387755,"o
"
61,0.5718489795918368,0.3754857142857143,93o,9,3,0.05266530612244898,"o
"
62,0.5857959183673469,0.36360408163265306,92o,9,2,0.0506,"o
"
63,0.3050163265306122,0.6862734693877551,88o,8,8,0.008710204081632653,"o
"
64,0.5247061224489796,0.4276979591836735,87o,8,7,0.04759591836734694,"o
"
65,0.5430163265306123,0.4074122448979592,86o,8,6,0.04957142857142857,"o
"
66,0.5601183673469388,0.38688163265306125,85o,8,5,0.053,"o
"
67,0.5799102040816326,0.36627755102040815,84o,8,4,0.05381224489795918,"o
"
68,0.596669387755102,0.3489795918367347,83o,8,3,0.05435102040816327,"o
"
69,0.6064979591836734,0.33993469387755104,82o,8,2,0.05356734693877551,"o
"
70,0.33384897959183674,0.6556734693877551,77o,7,7,0.010477551020408163,"o
"
71,0.5501836734693878,0.39679591836734696,76o,7,6,0.05302040816326531,"o
"
72,0.5683224489795918,0.37571020408163264,75o,7,5,0.05596734693877551,"o
"
73,0.5872938775510204,0.35539591836734696,74o,7,4,0.057310204081632656,"o
"
74,0.6040734693877551,0.33784489795918365,73o,7,3,0.058081632653061224,"o
"
75,0.6258408163265307,0.3175224489795918,72o,7,2,0.056636734693877554,"o
"
76,0.36144897959183675,0.6269346938775511,66o,6,6,0.011616326530612245,"o
"
77,0.5705265306122449,0.3720612244897959,65o,6,5,0.05741224489795918,"o
"
78,0.5915510204081633,0.34929795918367346,64o,6,4,0.059151020408163266,"o
"
79,0.6079428571428571,0.33264489795918367,63o,6,3,0.05941224489795918,"o
"
80,0.6278530612244898,0.3126816326530612,62o,6,2,0.05946530612244898,"o
"
81,0.38868979591836733,0.5973102040816326,55o,5,5,0.014,"o
"
82,0.5867755102040816,0.3515714285714286,54o,5,4,0.0616530612244898,"o
"
83,0.607134693877551,0.3312,53o,5,3,0.06166530612244898,"o
"
84,0.6240244897959184,0.3142081632653061,52o,5,2,0.06176734693877551,"o
"
85,0.42360408163265306,0.5615061224489796,44o,4,4,0.014889795918367347,"o
"
86,0.6152857142857143,0.32255510204081633,43o,4,3,0.06215918367346939,"o
"
87,0.6366489795918368,0.302934693877551,42o,4,2,0.06041632653061225,"o
"
88,0.45568979591836734,0.5272653061224489,33o,3,3,0.017044897959183673,"o
"
89,0.6467591836734694,0.292734693877551,32o,3,2,0.06050612244897959,"o
"
90,0.4857673469387755,0.49579591836734693,22o,2,2,0.018436734693877552,"o
"
91,0.3214326530612245,0.6625673469387755,AKs,A,K,0.016,"s
"
92,0.3304326530612245,0.6516571428571428,AQs,A,Q,0.017910204081632655,"s
"
93,0.3339795918367347,0.646138775510204,AJs,A,J,0.019881632653061223,"s
"
94,0.3441469387755102,0.6341755102040816,ATs,A,T,0.021677551020408165,"s
"
95,0.36089795918367346,0.6140734693877551,A9s,A,9,0.025028571428571428,"s
"
96,0.36666122448979593,0.6049795918367347,A8s,A,8,0.028359183673469388,"s
"
97,0.3732489795918367,0.5947469387755102,A7s,A,7,0.03200408163265306,"s
"
98,0.3833142857142857,0.5829591836734694,A6s,A,6,0.0337265306122449,"s
"
99,0.3818489795918367,0.5814408163265307,A5s,A,5,0.036710204081632655,"s
"
100,0.3902734693877551,0.5711469387755101,A4s,A,4,0.03857959183673469,"s
"
101,0.4009591836734694,0.561461224489796,A3s,A,3,0.03757959183673469,"s
"
102,0.4079877551020408,0.5547102040816326,A2s,A,2,0.03730204081632653,"s
"
103,0.3568775510204082,0.6233387755102041,KQs,K,Q,0.019783673469387756,"s
"
104,0.36218367346938773,0.6164204081632653,KJs,K,J,0.021395918367346937,"s
"
105,0.3690204081632653,0.6067020408163265,KTs,K,T,0.024277551020408163,"s
"
106,0.38723673469387754,0.5859183673469388,K9s,K,9,0.026844897959183673,"s
"
107,0.40466938775510203,0.5653387755102041,K8s,K,8,0.029991836734693876,"s
"
108,0.40861632653061225,0.5586204081632653,K7s,K,7,0.03276326530612245,"s
"
109,0.4151469387755102,0.5484408163265306,K6s,K,6,0.03641224489795918,"s
"
110,0.42106938775510205,0.5399142857142857,K5s,K,5,0.039016326530612246,"s
"
111,0.4320979591836735,0.528530612244898,K4s,K,4,0.03937142857142857,"s
"
112,0.4395142857142857,0.5210326530612245,K3s,K,3,0.0394530612244898,"s
"
113,0.4470408163265306,0.514130612244898,K2s,K,2,0.03882857142857143,"s
"
114,0.38557142857142856,0.5908612244897959,QJs,Q,J,0.02356734693877551,"s
"
115,0.38925714285714286,0.5838979591836735,QTs,Q,T,0.026844897959183673,"s
"
116,0.4091959183673469,0.5618571428571428,Q9s,Q,9,0.028946938775510203,"s
"
117,0.4274530612244898,0.541534693877551,Q8s,Q,8,0.031012244897959184,"s
"
118,0.4382408163265306,0.5267306122448979,Q7s,Q,7,0.03502857142857143,"s
"
119,0.4456775510204082,0.5157632653061225,Q6s,Q,6,0.03855918367346939,"s
"
120,0.45193469387755103,0.5075632653061225,Q5s,Q,5,0.04050204081632653,"s
"
121,0.4584448979591837,0.49995510204081633,Q4s,Q,4,0.0416,"s
"
122,0.47186938775510207,0.48754285714285717,Q3s,Q,3,0.040587755102040816,"s
"
123,0.47514285714285714,0.48336734693877553,Q2s,Q,2,0.04148979591836735,"s
"
124,0.41162448979591837,0.5609224489795919,JTs,J,T,0.027453061224489796,"s
"
125,0.4287061224489796,0.5414408163265306,J9s,J,9,0.029853061224489795,"s
"
126,0.4429959183673469,0.5228122448979592,J8s,J,8,0.03419183673469388,"s
"
127,0.4576938775510204,0.5042408163265306,J7s,J,7,0.03806530612244898,"s
"
128,0.473,0.48682857142857144,J6s,J,6,0.04017142857142857,"s
"
129,0.4794979591836735,0.4776938775510204,J5s,J,5,0.04280816326530612,"s
"
130,0.4868857142857143,0.46937959183673467,J4s,J,4,0.04373469387755102,"s
"
131,0.4973183673469388,0.4582530612244898,J3s,J,3,0.04442857142857143,"s
"
132,0.5061102040816327,0.451134693877551,J2s,J,2,0.042755102040816326,"s
"
133,0.44396326530612246,0.5232897959183673,T9s,T,9,0.0327469387755102,"s
"
134,0.45824081632653063,0.5051795918367347,T8s,T,8,0.0365795918367347,"s
"
135,0.47394285714285717,0.48622857142857145,T7s,T,7,0.03982857142857143,"s
"
136,0.49088163265306123,0.46630204081632654,T6s,T,6,0.04281632653061224,"s
"
137,0.5068530612244898,0.44857142857142857,T5s,T,5,0.04457551020408163,"s
"
138,0.5096693877551021,0.443934693877551,T4s,T,4,0.04639591836734694,"s
"
139,0.5193142857142857,0.4342489795918367,T3s,T,3,0.04643673469387755,"s
"
140,0.5267306122448979,0.4274081632653061,T2s,T,2,0.04586122448979592,"s
"
141,0.47362857142857145,0.4879469387755102,98s,9,8,0.038424489795918365,"s
"
142,0.4870775510204082,0.4713428571428571,97s,9,7,0.041579591836734694,"s
"
143,0.5030897959183673,0.4522857142857143,96s,9,6,0.04462448979591837,"s
"
144,0.5183469387755102,0.43319183673469386,95s,9,5,0.048461224489795916,"s
"
145,0.536804081632653,0.41375102040816325,94s,9,4,0.04944489795918367,"s
"
146,0.5417387755102041,0.41106530612244896,93s,9,3,0.04719591836734694,"s
"
147,0.5519428571428572,0.3989673469387755,92s,9,2,0.049089795918367346,"s
"
148,0.49880408163265305,0.45678367346938775,87s,8,7,0.04441224489795918,"s
"
149,0.5121755102040816,0.43965714285714286,86s,8,6,0.04816734693877551,"s
"
150,0.5288244897959183,0.4207795918367347,85s,8,5,0.050395918367346935,"s
"
151,0.5475510204081633,0.4005102040816326,84s,8,4,0.05193877551020408,"s
"
152,0.5646122448979591,0.3843877551020408,83s,8,3,0.051,"s
"
153,0.5722530612244898,0.3767020408163265,82s,8,2,0.051044897959183676,"s
"
154,0.5231795918367347,0.4265510204081633,76s,7,6,0.05026938775510204,"s
"
155,0.5370326530612245,0.40978367346938777,75s,7,5,0.05318367346938775,"s
"
156,0.5556408163265306,0.3893877551020408,74s,7,4,0.054971428571428574,"s
"
157,0.5744326530612245,0.3715510204081633,73s,7,3,0.054016326530612245,"s
"
158,0.5919142857142857,0.3545020408163265,72s,7,2,0.053583673469387756,"s
"
159,0.5414081632653062,0.4027265306122449,65s,6,5,0.05586530612244898,"s
"
160,0.5563918367346938,0.38669795918367345,64s,6,4,0.05691020408163265,"s
"
161,0.5774979591836734,0.36638367346938777,63s,6,3,0.05611836734693878,"s
"
162,0.5947959183673469,0.34932244897959186,62s,6,2,0.055881632653061224,"s
"
163,0.556734693877551,0.3857673469387755,54s,5,4,0.05749795918367347,"s
"
164,0.5722489795918367,0.3701551020408163,53s,5,3,0.05759591836734694,"s
"
165,0.5921755102040817,0.34984897959183675,52s,5,2,0.057975510204081634,"s
"
166,0.5847673469387755,0.3570938775510204,43s,4,3,0.058138775510204084,"s
"
167,0.6001183673469388,0.34259591836734693,42s,4,2,0.05728571428571429,"s
"
168,0.6084612244897959,0.33462857142857144,32s,3,2,0.05691020408163265,"s
"
